,Julian.Julian1,Julian.Julian2,Julian.Julian3,Maxhum.max.hum1,Maxhum.max.hum2,Maxhum.max.hum3,Maxtemp.max.temp1,Maxtemp.max.temp2,Maxtemp.max.temp3,Meanhum.mean.hum1,Meanhum.mean.hum2,Meanhum.mean.hum3,Meantemp.mean.temp1,Meantemp.mean.temp2,Meantemp.mean.temp3,Minhum.min.hum1,Minhum.min.hum2,Minhum.min.hum3,Mintemp.min.temp1,Mintemp.min.temp2,Mintemp.min.temp3,sdhum.sd.hum1,sdhum.sd.hum2,sdhum.sd.hum3,sdtemp.sd.temp1,sdtemp.sd.temp2,sdtemp.sd.temp3,ID
1,159.0375,160.0375,161.0375,87,100,100,27,21,14,73.5,93.4166666666667,100,14.3636363636364,13.5454545454545,10.2727272727273,45,56,100,10,11,6,11.5088898445743,14.7244900102043,0,5.46393131861533,3.3275707765166,2.90141031537799,H2NFS8
2,160.029861111111,161.029861111111,162.029861111111,100,100,100,17,14,20,100,100,99.5454545454545,11.4545454545455,8.27272727272727,8.63636363636364,100,100,95,8,2,4,0,0,1.50755672288882,2.84125452445346,4.00227208197816,5.31550048956309,H2NFS5
3,159.020844907407,160.020844907407,161.020844907407,74,91,100,30,19,14,60.3636363636364,77.4545454545455,98.9090909090909,16.5454545454545,13.9090909090909,10.7272727272727,30,46,94,12,11,8,13.6987059773741,14.4869847543485,2.07145096270925,5.44726787231244,2.73695251893581,2.00454030096225,H5NFS2
4,161.034039351852,162.034039351852,163.034039351852,100,59,53,12,28,30,100,42.7272727272727,43.0909090909091,9.90909090909091,14.8181818181818,17.8181818181818,100,18,18,8,9,13,0,12.3052095397917,11.5365033303384,1.57826141399614,6.09619851740709,5.81064853210348,H5NFS6
5,163.058344907407,164.058344907407,164.975011574074,100,100,100,26,26,23,97.4166666666667,96.75,94.3333333333333,6.81818181818182,6,7,72,67,53,0,0,0,8.05050346628123,9.52627944162883,14.0021643348665,8.03515005234105,7.81024967590665,8.64098759787715,IB10
6,166.038900462963,167.038900462963,168.038900462963,63,66,62,18,19,21,40.3636363636364,43.1818181818182,46.4545454545455,12.5454545454545,13.0909090909091,13.7272727272727,21,27,30,9,9,9,14.6579175006051,12.2214416646988,10.2699915906844,2.80583806958407,3.17661912902839,3.46672494123514,H2NFS9
7,166.06181712963,167.06181712963,168.06181712963,25,24,26,22,22,24,22.9090909090909,22.6363636363636,24,14.7272727272727,15.5454545454545,15.8181818181818,22,22,23,10,11,11,1.04446593573419,0.924416277737175,1.09544511501033,3.58024884863913,3.5598774238346,3.99545195987092,H4FS8
8,166.029178240741,167.029178240741,168.029178240741,94,90,85,23,23,23,80.6363636363636,83.5454545454545,71.5454545454545,17.8181818181818,17.6363636363636,17.9090909090909,58,74,56,14,14,14,11.4653628575177,5.37333483720559,8.77910743029878,2.92636914343293,2.83805310988809,2.91391645228704,H4NFS1
9,168.032650462963,169.032650462963,170.032650462963,53,46,50,21,19,19,50.0909090909091,41.1818181818182,46.9090909090909,18.0909090909091,16.1818181818182,16.8181818181818,45,33,39,16,14,15,2.34326889001435,3.51619629196613,3.38982434514078,1.51357493732854,1.60113596038449,1.16774841624228,H4NFS5
10,167.038206018519,168.038206018519,169.038206018519,35,43,42,33,32,28,29.5454545454545,38.7272727272727,31.7272727272727,20.2727272727273,20,17.1818181818182,16,22,20,18,17,15,5.00726744569603,5.71123295078933,6.63461994527055,4.31487911976475,4.19523539268061,3.81623326902803,H3FS8
11,167.029178240741,168.029178240741,169.029178240741,46,53,52,20,21,20,41.0909090909091,50.4545454545455,44.2727272727273,16.4545454545455,16.8181818181818,15.0909090909091,37,42,34,15,15,13,3.36019479954795,3.23615933982356,5.25530035470684,1.43969693780576,1.88775961489708,2.16585066219005,H4NFS10
12,173.029872685185,174.029872685185,175.029872685185,43,62,65,17,20,22,35.2727272727273,57.5454545454545,58.1818181818182,9.90909090909091,12.8181818181818,15.3636363636364,26,41,48,8,10,13,4.71361663886467,5.93908471674948,5.03623235798711,2.62505411199638,2.85720779146991,2.54057974772402,H1NFS11
13,173.038900462963,174.038900462963,175.038900462963,60,83,85,20,24,26,40.6363636363636,63.7272727272727,67.4545454545455,9.72727272727273,13.4545454545455,16.1818181818182,19,33,38,4,8,11,13.5961224418783,17.6923198540548,16.9844848986576,5.08115949544804,5.18389113241465,4.83359455929398,H4NFS9
14,173.04306712963,174.04306712963,175.04306712963,52,69,72,13,17,18,40.7272727272727,64,67.3636363636364,9.54545454545454,12.1818181818182,14.2727272727273,26,49,58,8,10,12,9.71690186315483,5.98331012066064,4.61026522605213,1.50755672288882,1.99088833530069,1.9021518914592,H2NFS4
15,174.046539351852,175.046539351852,176.046539351852,51,50,50,21,23,25,45.2727272727273,46,40.6363636363636,15.6363636363636,17.9090909090909,19.5454545454545,30,37,34,13,15,17,6.23042388752016,3.66060104354463,5.48220260976785,2.37792881612244,2.58667916273145,2.25227158058864,H1NFS12
16,174.026400462963,175.026400462963,176.026400462963,56,52,70,33,31,32,46.4545454545455,45.8181818181818,48.5454545454545,15.1818181818182,17,18.4545454545455,16,21,22,11,13,14,11.6048579169556,8.91984508630259,14.2152287098283,6.38464066049424,5.21536192416212,5.16456457726373,H5FS4
17,182.023622685185,183.023622685185,184.023622685185,94,100,100,26,25,25,81.8181818181818,95.4545454545455,91.8181818181818,15.7272727272727,18.8181818181818,14.5454545454545,50,62,61,12,17,10,14.2465306781559,11.6650215290297,12.1228559491415,4.38385467575989,2.71360210119987,4.63386742071105,IB15
